reviewer_id,listing_id,rating
5599,210097,3.786518
5599,13306811,3.759314
5599,2395326,3.7557144
5599,1066767,3.6441634
5599,8536127,3.6085236
5599,5166870,3.5414672
5599,8563141,3.5268424
5599,10883063,3.3836446
5599,9841140,3.271917
5599,12618291,3.2247663
5811,1885825,3.8186982
5811,197972,3.7432733
5811,1401625,3.722004
5811,5295491,3.5335271
5811,3870046,3.3945508
5811,8450098,3.3565278
5811,4870883,3.3086288
5811,5074924,3.1683695
5811,5506,3.1438344
5811,9231486,3.126635
11179,4922204,3.8327212
11179,1498719,3.3307703
11179,1252289,3.1815052
11179,3363097,3.176456
11179,7181950,3.0951762
11179,2778656,3.0206468
11179,5067019,3.013292
11179,7527149,2.9946835
11179,6291807,2.9798734
11179,1264217,2.9543796
12970,3353,3.8350987
12970,6401859,3.1615868
12970,8733896,3.1287093
12970,11590512,3.0175858
12970,1544702,2.9747298
12970,220676,2.9462132
12970,13800505,2.9218926
12970,2722165,2.829706
12970,1868513,2.8033211
12970,3765014,2.7715468
13015,6410674,3.0057297
13015,1042420,2.8181405
13015,3069104,2.8149965
13015,12034317,2.7746534
13015,13478348,2.772362
13015,7740436,2.7686038
13015,9373802,2.7599895
13015,5478135,2.7132158
13015,5455004,2.6643498
13015,6914622,2.6517608
14033,5506,3.8339996
14033,5904732,3.387315
14033,197972,3.1137433
14033,3870046,2.9738555
14033,2174476,2.930526
14033,8555187,2.9056199
14033,13110084,2.8816228
14033,1885825,2.8785124
14033,10747524,2.8735564
14033,6886946,2.8390338
20303,36885,3.8405461
20303,625012,3.6552536
20303,12154934,3.1032956
20303,213086,3.0696125
20303,13005579,3.0381544
20303,6444303,3.0023878
20303,13674964,2.9169161
20303,1042420,2.9118536
20303,7575052,2.896849
20303,14308511,2.8903418
33258,8792,3.8342407
33258,10701625,3.2924135
33258,9299923,3.2384872
33258,8480507,3.1405308
33258,2810123,3.1387846
33258,2823378,3.1181126
33258,9706199,2.9724135
33258,3528826,2.9023519
33258,7713728,2.852183
33258,13698137,2.825677
39339,13140867,4.237988
39339,986399,4.1712575
39339,9109401,3.7362463
39339,13433475,3.7290866
39339,332225,3.7240167
39339,6213822,3.7155993
